month,committee_type,contributions,amount
2024-09,Leadership PAC,101038,15182545
2024-09,PAC,461484,42099986
2024-09,Party committee,464360,65523816
2024-10,Candidate committee,2661428,295591198
2024-10,Hybrid PAC,1389741,30394479
2024-10,Independent-expenditure committee,17885,2704007
2024-10,Joint fundraising committee,2194280,357956810
2024-10,Leadership PAC,174056,19335405
2024-10,PAC,610879,42297535
2024-10,Party committee,710333,82373584
2024-11,Candidate committee,622595,50279930
2024-11,Hybrid PAC,680828,10360961
2024-11,Independent-expenditure committee,7326,492609
2024-11,Joint fundraising committee,849785,58144900
2024-11,Leadership PAC,62526,6442475
2024-11,PAC,541220,33626441
2024-11,Party committee,423045,23916399
2024-12,Candidate committee,78815,7877053
2024-12,Hybrid PAC,321780,5106861
2024-12,Independent-expenditure committee,4003,119426
2024-12,Joint fundraising committee,496328,21829739
2024-12,Leadership PAC,24627,1890382
2024-12,PAC,481802,35382332
2024-12,Party committee,321386,15042157
